Model,Semantic Coherence,Factual Accuracy,Content Coverage,Fluency
facebook/bart-large-cnn,0.655735972296425,0.45834864737274555,0.3716193256758687,13.824153571841595
t5-large,0.7552539741999943,0.4572646019979348,0.4089083535398816,15.828586167394173
sshleifer/distilbart-cnn-12-6,0.7078270601971958,0.5219060894788244,0.484382341472231,15.687914968635008
google/pegasus-large,0.7068213744494901,0.42095610642665193,0.36445234680796956,11.779997578366507
allenai/led-large-16384-arxiv,0.1927659799463381,0.2883773953311988,0.1902819601718388,4.300494907492423
