Model,Semantic Coherence,Factual Accuracy,Content Coverage,Fluency,Topsis Score,Rank
facebook/bart-large-cnn,0.655735972296425,0.4583486473727455,0.3716193256758687,13.824153571841595,0.24899257105952347,3.0
t5-large,0.7552539741999943,0.4572646019979348,0.4089083535398816,15.828586167394173,0.14828521621242757,4.0
sshleifer/distilbart-cnn-12-6,0.7078270601971958,0.5219060894788244,0.484382341472231,15.687914968635008,0.04702191306953536,5.0
google/pegasus-large,0.7068213744494901,0.4209561064266519,0.3644523468079695,11.779997578366508,0.30926521446754324,2.0
allenai/led-large-16384-arxiv,0.1927659799463381,0.2883773953311988,0.1902819601718388,4.300494907492423,1.0,1.0
